종목명,현재가,대비,대비(%),거래량,L(일봉)H,종목코드,거래량 (G),거래대금(만원) (H),매출액 영업이익률(%) (L),결산기준 (L),매출액 순이익률(%) (M),결산기준 (M),매출액(백만원) (A1),결산기준 (A1),매출액(백만원) (B1),결산기준 (B1),매출액(백만원) (C1),결산기준 (C1)
노터스,"27,400",350,1.29,"55,989",1.29,A278650,"55,989","151,205",14.62,Dec-19,9.89,Dec-19,"46,039",Dec-19,"37,237",Dec-18,"29,339",Dec-17
레이크머티리얼즈,"3,640",-130,-3.45,"908,243",-3.45,A281740,"908,243","331,833",7.32,Dec-19,5.05,Dec-19,"34,858",Dec-19,"35,295",Dec-18,"37,525",Dec-17
케이씨텍,"25,400",200,0.79,"97,431",0.79,A281820,"97,431","240,765",18.48,Dec-19,13.89,Dec-19,"265,326",Dec-19,"357,263",Dec-18,"75,094",Dec-17
동아타이어,"10,450",,0,"22,294",0,A282690,"22,294","23,014",11.56,Dec-19,15.84,Dec-19,"155,994",Dec-19,"161,313",Dec-18,"28,346",Dec-17
쿠쿠홈시스,"40,050",-400,-0.99,"43,364",-0.99,A284740,"43,364","173,123",18.18,Dec-19,12.03,Dec-19,"663,713",Dec-19,"418,791",Dec-18,"30,302",Dec-17
노바텍,"34,600",-400,-1.14,"50,945",-1.14,A285490,"50,945","175,890",21.14,Dec-19,21.02,Dec-19,"26,133",Dec-19,"25,883",Dec-18,"21,284",Dec-17
대유에이피,"7,040",50,0.72,"28,562",0.72,A290120,"28,562","19,865",6.41,Dec-19,5.07,Dec-19,"157,452",Dec-19,"193,955",Dec-18,"206,580",Dec-17
휴네시온,"5,640",70,1.26,"50,700",1.26,A290270,"50,700","28,148",10.08,Dec-19,9.53,Dec-19,"18,826",Dec-19,"16,050",Dec-18,"14,026",Dec-17
대유,"13,900",-100,-0.71,"115,743",-0.71,A290380,"115,743","158,601",17.97,Dec-19,16.55,Dec-19,"29,676",Dec-19,"28,744",Dec-18,"27,374",Dec-17
신도기연,"17,750",-450,-2.47,"46,722",-2.47,A290520,"46,722","82,514",19.98,Dec-19,17.28,Dec-19,"84,802",Dec-19,"49,696",Dec-18,"61,885",Dec-17
엘앤씨바이오,"30,000",-700,-2.28,"86,794",-2.28,A290650,"86,794","261,289",30.98,Dec-19,29,Dec-19,"29,151",Dec-19,"21,240",Dec-18,"17,900",Dec-17
대보마그네틱,"37,400",900,2.47,"32,793",2.47,A290670,"32,793","118,771",19.48,Dec-19,16.02,Dec-19,"23,870",Dec-19,"20,620",Dec-18,"13,164",Dec-17
